City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,san pedro pochutla,15.7333,-96.4667,303.99,58,16,2.47,MX,1732482856
195,mancio lima,-7.6142,-72.8958,298.32,95,100,0.77,BR,1732482858
196,anjozorobe,-18.4,47.8667,291.04,86,100,0.11,MG,1732482859
197,arab,34.3182,-86.4958,291.32,49,11,3.55,US,1732482860
198,champerico,14.3,-91.9167,300.38,72,100,2.47,GT,1732482861
199,pierre,44.3683,-100.351,272.66,80,100,8.75,US,1732482862
200,chetwayi,10.5333,76.05,298.96,75,100,3.72,IN,1732482863
201,zagora,30.3484,-5.8365,292.49,33,100,0.97,MA,1732482864
202,moose jaw,50.4001,-105.5344,262.89,90,100,8.39,CA,1732482865
203,aginskoye,51.1,114.53,255.95,81,100,7.41,RU,1732482866
204,klyuchi,52.2667,79.1667,262.4,96,24,1.22,RU,1732482867
205,wailua homesteads,22.0669,-159.378,299.79,73,0,2.06,US,1732482869
206,gadzhiyevo,69.2551,33.3362,269.86,84,9,6.7,RU,1732482870
207,namdrik,5.5994,168.1028,302.19,75,100,7.82,MH,1732482871
208,si satchanalai,17.5169,99.7598,294.84,91,100,1.21,TH,1732482872
209,alotau,-10.3069,150.4462,299.48,90,88,0.97,PG,1732482873
210,alice springs,-23.7,133.8833,292.9,94,100,2.57,AU,1732482874
211,massawa,15.6097,39.45,302.32,65,80,1.48,ER,1732482875
212,westport,41.1415,-73.3579,281.68,53,0,5.36,US,1732482623
213,belmonte,-15.8631,-38.8828,295.82,91,100,3.69,BR,1732482878
214,amursk,50.2261,136.8994,262.44,88,7,2.24,RU,1732482879
215,kapuskasing,49.4169,-82.4331,268.15,93,75,3.09,CA,1732482880
216,port saint john's,-31.6229,29.5448,296.75,93,23,5.17,ZA,1732482881
217,forest city,28.6668,-81.4433,295.75,35,0,0.89,US,1732482882
218,wulingyuan,29.3494,110.5441,280.41,95,100,1.7,CN,1732482883
219,san patricio,28.017,-97.5169,302.12,46,6,7.55,US,1732482886
220,yuzhno-kurilsk,44.0306,145.8556,276.0,97,100,7.84,RU,1732482887
221,broken hill,-31.95,141.4333,292.28,86,100,5.79,AU,1732482888
222,kwang binh,17.4833,106.6,295.14,89,100,3.04,VN,1732482889
223,chornomors'k,46.305,30.6548,274.28,69,1,4.36,UA,1732482890
224,la sarre,48.8002,-79.1996,270.55,77,100,4.64,CA,1732482892
225,happy valley-goose bay,53.3168,-60.3315,276.32,93,100,10.29,CA,1732482893
226,nacozari de garcia,30.3742,-109.6908,297.09,12,65,6.9,MX,1732482894
227,mao,39.8885,4.2658,290.46,88,0,4.63,ES,1732482896
228,along,28.1667,94.7667,284.28,77,90,0.23,IN,1732482897
229,isfana,39.8386,69.5306,278.88,41,100,3.04,KG,1732482898
230,soio,-6.1349,12.3689,299.13,88,38,2.47,AO,1732482899
231,tolanaro,-25.0319,46.9987,298.19,88,40,2.57,MG,1732482900
232,itoman,26.1247,127.6694,292.16,82,0,2.06,JP,1732482901
233,vila velha,-20.3297,-40.2925,295.34,84,40,1.03,BR,1732482661
234,boysun,38.2061,67.1986,281.7,40,100,2.28,UZ,1732482903
235,porbandar,21.6422,69.6093,296.64,39,55,4.27,IN,1732482862
236,vilyuysk,63.7553,121.6247,250.6,91,100,2.39,RU,1732482906
237,fort st. john,56.2499,-120.8529,255.09,85,75,1.03,CA,1732482907
238,todos santos,23.45,-110.2167,298.4,59,99,3.64,MX,1732482908
239,brookings,44.3114,-96.7984,275.16,92,100,6.17,US,1732482909
240,hasaki,35.7333,140.8333,285.64,60,17,9.2,JP,1732482910
241,huron,41.1501,-82.5499,279.29,80,91,2.26,US,1732482911
242,faya-largeau,17.9257,19.1043,296.29,21,0,8.61,TD,1732482912
